Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,10,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,100,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
LTP Min_n0,min(LTP)-LTP(00:00),0.9,1,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.9,2,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.9,3,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.9,4,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.9,5,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.9,10,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.9,100,,,,,,,,0.522799211,-0.070818508,,0.450660234
LTP Min_n0,min(LTP)-LTP(00:00),0.8,1,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min_n0,min(LTP)-LTP(00:00),0.8,2,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min_n0,min(LTP)-LTP(00:00),0.8,3,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min_n0,min(LTP)-LTP(00:00),0.8,4,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min_n0,min(LTP)-LTP(00:00),0.8,5,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min_n0,min(LTP)-LTP(00:00),0.8,10,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min_n0,min(LTP)-LTP(00:00),0.8,100,,,,,,,,0.522799211,-0.070818508,,0.417326901
LTP Min,min(LTP),0.99,1,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Min,min(LTP),0.99,2,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Min,min(LTP),0.99,3,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Min,min(LTP),0.99,4,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Min,min(LTP),0.99,5,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Min,min(LTP),0.99,10,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Min,min(LTP),0.99,100,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.399653852
LTP Area,mean(LTP),0.99,1,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Area,mean(LTP),0.99,2,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Area,mean(LTP),0.99,3,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Area,mean(LTP),0.99,4,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Area,mean(LTP),0.99,5,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Area,mean(LTP),0.99,10,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Area,mean(LTP),0.99,100,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.395937807
LTP Min,min(LTP),0.95,1,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Min,min(LTP),0.95,2,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Min,min(LTP),0.95,3,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Min,min(LTP),0.95,4,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Min,min(LTP),0.95,5,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Min,min(LTP),0.95,10,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Min,min(LTP),0.95,100,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.394653852
LTP Area,mean(LTP),0.95,1,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Area,mean(LTP),0.95,2,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Area,mean(LTP),0.95,3,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Area,mean(LTP),0.95,4,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Area,mean(LTP),0.95,5,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Area,mean(LTP),0.95,10,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Area,mean(LTP),0.95,100,,,-1.84E-16,-3.23E-17,,0.506243129,0.993788273,0.060909923,0.110219243,0.506341887,0.390937807
LTP Min,min(LTP),0.9,1,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Min,min(LTP),0.9,2,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Min,min(LTP),0.9,3,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Min,min(LTP),0.9,4,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Min,min(LTP),0.9,5,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Min,min(LTP),0.9,10,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Min,min(LTP),0.9,100,,,3.06E-18,1.33E-16,,0.521828657,0.992163841,0.060827698,0.079605819,0.552804804,0.388403852
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,1,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,2,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,3,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,4,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,5,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,10,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
LTP Area_n0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.99,100,,,-1.38E-16,-1.53E-16,0.024687539,0.383073881,0.991698907,-0.125252186,0.444828749,0.77967357,0.387634495
