Fecha,P1 Control,P12 Control,P6 45RDI-PB,P8 45RDI-PB,P3 45RDI-CC,P5 45RDI-CC
2015-06-21,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-22,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-23,1.0,1.0,1.0,1.0,2.0,1.0
2015-06-24,1.0,1.0,1.0,2.0,2.0,1.0
2015-06-25,1.0,1.0,2.0,1.0,2.0,2.0
2015-06-26,1.0,1.0,1.0,2.0,2.0,1.0
2015-06-27,1.0,2.0,2.0,3.0,3.0,2.0
2015-06-28,1.0,2.0,3.0,3.0,3.0,3.0
2015-06-29,1.0,2.0,3.0,3.0,3.0,3.0
2015-06-30,1.0,1.0,1.0,1.0,1.0,2.0
2015-07-01,1.0,1.0,2.0,1.0,2.0,2.0
2015-07-02,1.0,1.0,1.0,2.0,1.0,2.0
2015-07-03,1.0,1.0,3.0,1.0,3.0,2.0
2015-07-04,1.0,1.0,3.0,1.0,3.0,3.0
2015-07-05,1.0,1.0,3.0,2.0,3.0,3.0
2015-07-06,1.0,2.0,3.0,2.0,3.0,3.0
2015-07-07,1.0,2.0,1.0,1.0,1.0,1.0
2015-07-08,1.0,2.0,3.0,2.0,3.0,3.0
2015-07-09,1.0,1.0,3.0,1.0,3.0,3.0
2015-07-10,1.0,1.0,1.0,1.0,1.0,1.0
2015-07-11,1.0,2.0,3.0,2.0,3.0,1.0
2015-07-12,1.0,2.0,3.0,2.0,3.0,2.0
2015-07-13,1.0,2.0,2.0,2.0,2.0,2.0
2015-07-14,1.0,2.0,1.0,1.0,1.0,1.0
2015-07-15,1.0,2.0,3.0,2.0,3.0,3.0
2015-07-16,1.0,2.0,2.0,1.0,2.0,2.0
2015-07-17,1.0,2.0,1.0,1.0,1.0,1.0
2015-07-18,1.0,1.0,3.0,2.0,3.0,3.0
2015-07-19,1.0,2.0,2.0,2.0,3.0,2.0
2015-07-20,1.0,2.0,1.0,1.0,1.0,1.0
2015-07-21,1.0,2.0,3.0,2.0,3.0,3.0
2015-07-22,1.0,2.0,1.0,2.0,3.0,2.0
2015-07-23,1.0,2.0,1.0,1.0,1.0,1.0
2015-07-24,1.0,2.0,3.0,2.0,3.0,1.0
2015-07-25,1.0,1.0,2.0,2.0,3.0,3.0
2015-07-26,1.0,1.0,1.0,2.0,3.0,2.0
2015-07-27,1.0,1.0,1.0,2.0,2.0,2.0
2015-07-28,1.0,1.0,1.0,1.0,1.0,1.0
2015-07-29,1.0,1.0,2.0,2.0,3.0,1.0
2015-07-30,1.0,1.0,2.0,2.0,3.0,3.0
2015-07-31,1.0,1.0,1.0,1.0,1.0,1.0
2015-08-01,1.0,1.0,2.0,2.0,3.0,1.0
2015-08-02,1.0,1.0,2.0,2.0,3.0,3.0
2015-08-03,1.0,1.0,2.0,2.0,2.0,3.0
2015-08-04,1.0,1.0,1.0,1.0,1.0,1.0
2015-08-05,1.0,1.0,2.0,2.0,3.0,1.0
2015-08-06,1.0,1.0,2.0,2.0,3.0,2.0
2015-08-07,1.0,1.0,1.0,1.0,1.0,1.0
2015-08-08,1.0,1.0,2.0,2.0,3.0,1.0
2015-08-09,1.0,1.0,2.0,2.0,3.0,3.0
2015-08-10,1.0,1.0,1.0,2.0,2.0,3.0
2015-08-11,1.0,1.0,1.0,1.0,1.0,1.0
2015-08-12,1.0,1.0,2.0,2.0,3.0,1.0
2015-08-13,1.0,2.0,1.0,2.0,2.0,2.0
2015-08-14,1.0,1.0,1.0,1.0,1.0,1.0
2015-08-15,1.0,1.0,2.0,2.0,2.0,1.0
2015-08-16,1.0,1.0,2.0,2.0,2.0,3.0
2015-08-17,1.0,1.0,2.0,2.0,2.0,3.0
2015-08-18,1.0,1.0,1.0,1.0,1.0,1.0
2015-08-19,1.0,1.0,2.0,2.0,2.0,1.0
2015-08-20,1.0,2.0,2.0,2.0,3.0,3.0
2015-08-21,1.0,2.0,1.0,1.0,2.0,1.0
2015-08-22,1.0,1.0,1.0,2.0,2.0,1.0
2015-08-23,1.0,1.0,2.0,2.0,2.0,3.0
2015-08-24,1.0,1.0,2.0,1.0,2.0,3.0
2015-08-25,1.0,2.0,1.0,2.0,2.0,1.0
2015-08-26,1.0,2.0,1.0,2.0,1.0,1.0
2015-08-27,1.0,2.0,1.0,1.0,1.0,1.0
2015-08-28,1.0,2.0,1.0,1.0,1.0,1.0
2015-08-29,1.0,2.0,1.0,1.0,1.0,1.0
2015-08-30,1.0,1.0,1.0,1.0,1.0,2.0
2015-08-31,1.0,1.0,1.0,1.0,1.0,2.0
2015-09-01,1.0,1.0,1.0,1.0,1.0,2.0
2015-09-02,1.0,1.0,1.0,1.0,1.0,2.0
2015-09-03,1.0,1.0,1.0,1.0,1.0,2.0
2015-09-04,1.0,1.0,1.0,1.0,1.0,2.0
2015-09-05,1.0,1.0,1.0,1.0,1.0,2.0
2015-09-06,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-07,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-08,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-09,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-10,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-11,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-12,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-13,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-14,1.0,1.0,2.0,1.0,1.0,1.0
2015-09-15,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-16,1.0,1.0,2.0,1.0,1.0,1.0
2015-09-17,1.0,1.0,2.0,1.0,1.0,1.0
2015-09-18,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-19,1.0,1.0,2.0,3.0,1.0,1.0
2015-09-20,1.0,1.0,3.0,3.0,1.0,1.0
2015-09-21,1.0,1.0,3.0,2.0,1.0,1.0
2015-09-22,1.0,1.0,2.0,2.0,2.0,1.0
2015-09-23,1.0,1.0,3.0,2.0,1.0,1.0
2015-09-24,1.0,1.0,3.0,1.0,2.0,2.0
2015-09-25,1.0,1.0,1.0,2.0,1.0,1.0
2015-09-26,1.0,1.0,2.0,2.0,2.0,1.0
2015-09-27,1.0,1.0,1.0,2.0,2.0,1.0
2015-09-28,1.0,1.0,3.0,1.0,2.0,1.0
2015-09-29,1.0,1.0,1.0,2.0,1.0,1.0
2015-09-30,1.0,1.0,1.0,1.0,1.0,1.0
2015-10-01,1.0,1.0,1.0,2.0,2.0,2.0
2015-10-02,1.0,1.0,1.0,2.0,2.0,1.0
2015-10-03,1.0,1.0,1.0,1.0,2.0,1.0
2015-10-04,1.0,1.0,1.0,2.0,1.0,2.0
2015-10-05,1.0,1.0,2.0,3.0,1.0,1.0
2015-10-06,1.0,1.0,2.0,3.0,2.0,2.0
2015-10-07,1.0,1.0,3.0,3.0,2.0,2.0
2015-10-08,1.0,1.0,3.0,2.0,3.0,2.0
2015-10-09,1.0,1.0,3.0,3.0,3.0,2.0
2015-10-10,1.0,1.0,3.0,3.0,1.0,1.0
2015-10-11,1.0,1.0,3.0,3.0,2.0,2.0
2015-10-12,1.0,1.0,3.0,2.0,2.0,1.0
2015-10-13,1.0,1.0,2.0,2.0,2.0,1.0
2015-10-14,1.0,1.0,3.0,3.0,2.0,2.0
2015-10-15,1.0,1.0,3.0,3.0,2.0,2.0
2015-10-16,1.0,1.0,3.0,2.0,2.0,2.0
2015-10-17,1.0,1.0,2.0,1.0,2.0,2.0
2015-10-18,1.0,1.0,1.0,1.0,2.0,2.0
2015-10-19,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-20,1.0,1.0,2.0,1.0,2.0,2.0
2015-10-21,1.0,1.0,2.0,1.0,1.0,2.0
2015-10-22,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-23,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-24,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-25,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-26,1.0,1.0,2.0,1.0,1.0,1.0
2015-10-27,1.0,1.0,2.0,1.0,1.0,1.0
2015-10-28,1.0,1.0,2.0,1.0,1.0,1.0
2015-10-29,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-30,1.0,1.0,2.0,1.0,2.0,1.0
2015-10-31,1.0,1.0,2.0,1.0,2.0,1.0
2015-11-01,1.0,1.0,2.0,1.0,2.0,1.0
2015-11-02,1.0,1.0,2.0,1.0,1.0,1.0
2015-11-03,1.0,1.0,1.0,1.0,1.0,1.0
2015-11-04,1.0,1.0,1.0,1.0,1.0,1.0
2015-11-05,1.0,1.0,1.0,1.0,1.0,1.0
2015-11-06,1.0,1.0,,,,
2015-11-07,,,,,,
2015-11-08,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-14,,,,,,
2015-11-15,,,,,,
2015-11-16,,,,,,
